census_year,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_description,number_of_seats,longitude,latitude,location
2022,UB1 Little Hero Apartments 16-30 Russell Place MELBOURNE VIC 3000,Melbourne (CBD),Neapoli Wine Bar,30 Russell Place MELBOURNE VIC 3000,Cafes and Restaurants,35,144.9674365,-37.81353903,"-37.813539026856645, 144.9674365318"
2022,131-135 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Heng Thai Local Food Hall,Part Ground 131-135 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,100,144.9694679,-37.81300662,"-37.81300661946125, 144.96946794955"
2022,The Metropolitan 137-141 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Ishizuka,"Shop B1, Basement 139 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,16,144.9691673,-37.81279276,"-37.81279275577653, 144.969167321"
2022,169 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Nana Thai Style Hotpot & Bbq,Ground 169 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,63,144.9685634,-37.81294711,"-37.812947112085325, 144.9685634125"
2022,173-175 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Straight Outta Saigon,Ground 138-144 Russell Street MELBOURNE VIC 3000,Cafes and Restaurants,47,144.968417,-37.81298896,"-37.81298896430425, 144.9684169991"
2022,SX121 121 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Axil Coffee Roasters,"Shop E6, 6 Southern Cross Lane MELBOURNE VIC 3000",Cafes and Restaurants,23,144.9701094,-37.81281419,"-37.81281419155, 144.97010937553796"
2022,SX121 121 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Sushi-Ya,"Shop E3, 12 Southern Cross Lane MELBOURNE VIC 3000",Cafes and Restaurants,56,144.9701094,-37.81281419,"-37.81281419155, 144.97010937553796"
2022,SX121 121 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),The Meating House,"Shop 1, Ground 121 Exhibition Street MELBOURNE VIC 3000",Cafes and Restaurants,20,144.9701094,-37.81281419,"-37.81281419155, 144.97010937553796"
2022,111-129 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Amie's Bakery,"Shop W1, 11 Southern Cross Lane MELBOURNE VIC 3000",Cafes and Restaurants,33,144.9701094,-37.81281419,"-37.81281419155, 144.97010937553796"
2022,59-63 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Madame Brussels,Level 3 59-63 Bourke Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",30,144.9715656,-37.81212343,"-37.81212342700134, 144.9715655659"
2022,65-71 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Magpie Nest Cafe,Ground 69 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,100,144.9714501,-37.81227554,"-37.81227554084913, 144.97145013195"
2022,79-85 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Fancy Hank's,Level 1 79 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,100,144.9710397,-37.81218018,"-37.81218018337256, 144.97103973560002"
2022,79-85 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Nando's Bourke Street,Ground 79 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,110,144.9710397,-37.81218018,"-37.81218018337256, 144.97103973560002"
2022,87-91 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Sal's Authentic New York Pizza,148 Exhibition Street MELBOURNE VIC 3000,Takeaway Food Services,4,144.9709028,-37.81223395,"-37.81223394749057, 144.9709028408"
2022,87-91 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Beef Rice Noodle Bar,146 Exhibition Street MELBOURNE VIC 3000,Cafes and Restaurants,16,144.9709028,-37.81223395,"-37.81223394749057, 144.9709028408"
2022,87-91 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Panini Bar,150 Exhibition Street MELBOURNE VIC 3000,Takeaway Food Services,4,144.9709028,-37.81223395,"-37.81223394749057, 144.9709028408"
2022,114-122 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),European Bier Cafe,114-122 Exhibition Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",250,144.971197,-37.81286229,"-37.81286229010783, 144.9711969512"
2022,68-70 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Cherry Bar,68-70 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",60,144.9713311,-37.81284125,"-37.81284125301718, 144.97133106425002"
2022,62-66 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Magic Mountain Saloon,62-66 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",120,144.9714419,-37.81280974,"-37.81280974337804, 144.971441857"
2022,20 Meyers Place MELBOURNE VIC 3000,Melbourne (CBD),Bar Carlo,Ground 20 Meyers Place MELBOURNE VIC 3000,"Pubs, Taverns and Bars",35,144.9723505,-37.81207813,"-37.81207813, 144.97235045969086"
2022,20 Meyers Place MELBOURNE VIC 3000,Melbourne (CBD),Waiters Restaurant,Level 1 20 Meyers Place MELBOURNE VIC 3000,Cafes and Restaurants,45,144.9723505,-37.81207813,"-37.81207813, 144.97235045969086"
2022,103-137 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Hotel Windsor,103-111 Spring Street MELBOURNE VIC 3000,Accommodation,100,144.9729236,-37.81199457,"-37.811994565723374, 144.97292358574998"
2022,19-23 Meyers Place MELBOURNE VIC 3000,Melbourne (CBD),Loop Project Space & Bar,Ground 19-23 Meyers Place MELBOURNE VIC 3000,"Pubs, Taverns and Bars",30,144.9721085,-37.81215229,"-37.812152294499995, 144.97210850771285"
2022,612-620 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Brightside Bagels,612 Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,20,144.9553258,-37.81622899,"-37.8162289918, 144.9553258392931"
2022,175-177 King Street MELBOURNE VIC 3000,Melbourne (CBD),Subway,Part Ground 175-177 King Street MELBOURNE VIC 3000,Takeaway Food Services,16,144.955232,-37.81602502,"-37.81602501955, 144.95523196469128"
2022,NEO 200 Apartments 182-200 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Hey Tea,"Shop 5, 200 Spencer Street MELBOURNE VIC 3000",Takeaway Food Services,8,144.9532988,-37.81625435,"-37.81625434815, 144.95329878771437"
2022,NEO 200 Apartments 182-200 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Ritz Spencer Kebab Cafe,"Shop 9, 200 Spencer Street MELBOURNE VIC 3000",Cafes and Restaurants,30,144.9532988,-37.81625435,"-37.81625434815, 144.95329878771437"
2022,186 King Street MELBOURNE VIC 3000,Melbourne (CBD),KEDAI SATAY,186 King Street MELBOURNE VIC 3000,Cafes and Restaurants,10,144.9556947,-37.81567371,"-37.815673705600005, 144.95569473055622"
2022,186 King Street MELBOURNE VIC 3000,Melbourne (CBD),KEDAI SATAY,186 King Street MELBOURNE VIC 3000,Cafes and Restaurants,75,144.9556947,-37.81567371,"-37.815673705600005, 144.95569473055622"
2022,188-202 King Street MELBOURNE VIC 3000,Melbourne (CBD),La Di Da,188-200 King Street MELBOURNE VIC 3000,Cafes and Restaurants,80,144.9556242,-37.81551358,"-37.81551358122934, 144.9556241679"
2022,515 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Bourke and Willis,"Tenancy 24, Ground 515 Little Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,40,144.957392,-37.81531894,"-37.815318936249994, 144.9573920138448"
2022,515 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Bourke and Willis,"Tenancy 24, Ground 515 Little Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,30,144.957392,-37.81531894,"-37.815318936249994, 144.9573920138448"
2022,550 Bourke Street 550 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Chilangos,"Tenancy 21, Ground 550 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,26,144.957392,-37.81531894,"-37.815318936249994, 144.9573920138448"
2022,CGU Tower 181 William Street MELBOURNE VIC 3000,Melbourne (CBD),Little Cupcakes,"Tenancy 6, Ground 181 William Street MELBOURNE VIC 3000",Takeaway Food Services,13,144.957392,-37.81531894,"-37.815318936249994, 144.9573920138448"
2022,CGU Tower 181 William Street MELBOURNE VIC 3000,Melbourne (CBD),Sakae,"Tenancy 12, Ground 181 William Street MELBOURNE VIC 3000",Cafes and Restaurants,20,144.957392,-37.81531894,"-37.815318936249994, 144.9573920138448"
2022,CGU Tower 181 William Street MELBOURNE VIC 3000,Melbourne (CBD),Rock the Wok,"Tenancy 8, Ground 181 William Street MELBOURNE VIC 3000",Cafes and Restaurants,16,144.957392,-37.81531894,"-37.815318936249994, 144.9573920138448"
